source: wordCount:4, stream: default, id: {}, [his, 2]
source: wordCount:3, stream: default, id: {}, [of, 15]
source: wordCount:3, stream: default, id: {}, [date, 2]
source: wordCount:3, stream: default, id: {}, [2011, 2]
source: wordCount:4, stream: default, id: {}, [18, 2]
source: wordCount:4, stream: default, id: {}, [1661, 2]
source: wordCount:3, stream: default, id: {}, [own, 1]
source: wordCount:3, stream: default, id: {}, [ebook, 5]
source: wordCount:4, stream: default, id: {}, [high, 1]
source: wordCount:3, stream: default, id: {}, [veil, 1]
source: wordCount:4, stream: default, id: {}, [power, 1]
source: wordCount:4, stream: default, id: {}, [from, 1]
source: wordCount:3, stream: default, id: {}, [first, 1]
source: wordCount:3, stream: default, id: {}, [men, 1]
source: wordCount:4, stream: default, id: {}, [s, 2]
source: wordCount:3, stream: default, id: {}, [november, 2]
source: wordCount:4, stream: default, id: {}, [posted, 1]
source: wordCount:4, stream: default, id: {}, [motives, 1]
source: wordCount:3, stream: default, id: {}, [and, 4]
source: wordCount:4, stream: default, id: {}, [2002, 2]
source: wordCount:3, stream: default, id: {}, [29, 1]
source: wordCount:4, stream: default, id: {}, [but, 1]
source: wordCount:3, stream: default, id: {}, [actions, 1]
source: wordCount:4, stream: default, id: {}, [for, 3]
source: wordCount:3, stream: default, id: {}, [the, 18]
source: wordCount:3, stream: default, id: {}, [nature, 1]
source: wordCount:4, stream: default, id: {}, [trained, 1]
source: wordCount:3, stream: default, id: {}, [reasoner, 1]
source: wordCount:4, stream: default, id: {}, [such, 1]
source: wordCount:3, stream: default, id: {}, [to, 3]
source: wordCount:4, stream: default, id: {}, [as, 2]
source: wordCount:3, stream: default, id: {}, [his, 2]
source: wordCount:4, stream: default, id: {}, [admit, 1]
source: wordCount:3, stream: default, id: {}, [intrusions, 1]
source: wordCount:4, stream: default, id: {}, [such, 2]
source: wordCount:3, stream: default, id: {}, [yet, 1]
source: wordCount:3, stream: default, id: {}, [there, 1]
source: wordCount:4, stream: default, id: {}, [and, 5]
source: wordCount:3, stream: default, id: {}, [his, 3]
source: wordCount:4, stream: default, id: {}, [into, 1]
source: wordCount:3, stream: default, id: {}, [own, 2]
source: wordCount:4, stream: default, id: {}, [was, 1]
source: wordCount:3, stream: default, id: {}, [but, 3]
source: wordCount:4, stream: default, id: {}, [delicate, 1]
source: wordCount:3, stream: default, id: {}, [and, 5]
source: wordCount:4, stream: default, id: {}, [one, 2]
source: wordCount:3, stream: default, id: {}, [woman, 2]
source: wordCount:4, stream: default, id: {}, [finely, 1]
source: wordCount:4, stream: default, id: {}, [to, 3]
source: wordCount:3, stream: default, id: {}, [might, 1]
source: wordCount:4, stream: default, id: {}, [him, 1]
source: wordCount:3, stream: default, id: {}, [and, 6]
source: wordCount:4, stream: default, id: {}, [throw, 1]
source: wordCount:3, stream: default, id: {}, [doubt, 1]
source: wordCount:4, stream: default, id: {}, [a, 5]
source: wordCount:3, stream: default, id: {}, [upon, 1]
source: wordCount:4, stream: default, id: {}, [that, 4]
source: wordCount:3, stream: default, id: {}, [woman, 3]
source: wordCount:4, stream: default, id: {}, [all, 1]
source: wordCount:4, stream: default, id: {}, [the, 20]
source: wordCount:3, stream: default, id: {}, [was, 4]
source: wordCount:4, stream: default, id: {}, [mental, 1]
source: wordCount:3, stream: default, id: {}, [his, 4]
source: wordCount:4, stream: default, id: {}, [results, 1]
source: wordCount:3, stream: default, id: {}, [late, 1]
source: wordCount:4, stream: default, id: {}, [irene, 2]
source: wordCount:3, stream: default, id: {}, [grit, 1]
source: wordCount:4, stream: default, id: {}, [a, 6]
source: wordCount:3, stream: default, id: {}, [in, 4]
source: wordCount:4, stream: default, id: {}, [of, 7]
source: wordCount:4, stream: default, id: {}, [language, 1]
source: wordCount:3, stream: default, id: {}, [adler, 1]
source: wordCount:3, stream: default, id: {}, [english, 1]
source: wordCount:4, stream: default, id: {}, [dubious, 1]
source: wordCount:3, stream: default, id: {}, [and, 7]
source: wordCount:4, stream: default, id: {}, [questionable, 1]
source: wordCount:3, stream: default, id: {}, [would, 2]
source: wordCount:4, stream: default, id: {}, [lenses, 1]
source: wordCount:3, stream: default, id: {}, [not, 2]
source: wordCount:4, stream: default, id: {}, [be, 1]
source: wordCount:3, stream: default, id: {}, [i, 3]
source: wordCount:4, stream: default, id: {}, [more, 1]
source: wordCount:3, stream: default, id: {}, [had, 1]
source: wordCount:3, stream: default, id: {}, [disturbing, 1]
source: wordCount:4, stream: default, id: {}, [than, 1]
